loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,fico_score,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,credit_age_months,term,grade,sub_grade,emp_length,home_ownership,verification_status,purpose,addr_state,target,text_prompt
10000,7.02,308.87,65000.0,10.04,0,680.0,0,11,0,290,2.3,38,170,36,A,A2,10,OWN,Not Verified,credit_card,IN,0,"이 대출 신청자는 연소득 65,000달러이며, 재직 기간은 10년입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 10,000달러, 대출 기간은 36개월이며, 적용 금리는 7.02%입니다. 매월 납입해야 하는 상환 원리금은 309달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 170개월(약 14.2년)입니다. 총 부채상환비율(DTI)은 10.04%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 11개이고, 전체 신용 한도 대비 사용률(revol_util)은 2.30%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
5000,15.02,173.38,17000.0,29.44,0,680.0,0,10,0,1469,54.4,23,102,36,C,C3,-1,MORTGAGE,Not Verified,debt_consolidation,TX,0,"이 대출 신청자는 연소득 17,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 5,000달러, 대출 기간은 36개월이며, 적용 금리는 15.02%입니다. 매월 납입해야 하는 상환 원리금은 173달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 102개월(약 8.5년)입니다. 총 부채상환비율(DTI)은 29.44%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 10개이고, 전체 신용 한도 대비 사용률(revol_util)은 54.40%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
22000,22.35,612.01,58000.0,26.13,0,680.0,0,16,0,14764,57.7,22,158,60,D,D5,10,MORTGAGE,Verified,debt_consolidation,CA,0,"이 대출 신청자는 연소득 58,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Verified입니다. 신청한 대출 금액은 22,000달러, 대출 기간은 60개월이며, 적용 금리는 22.35%입니다. 매월 납입해야 하는 상환 원리금은 612달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 158개월(약 13.2년)입니다. 총 부채상환비율(DTI)은 26.13%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 16개이고, 전체 신용 한도 대비 사용률(revol_util)은 57.70%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
28000,17.97,710.56,98000.0,13.75,2,680.0,0,24,0,15670,41.6,46,117,60,D,D1,10,MORTGAGE,Not Verified,debt_consolidation,TX,0,"이 대출 신청자는 연소득 98,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 28,000달러, 대출 기간은 60개월이며, 적용 금리는 17.97%입니다. 매월 납입해야 하는 상환 원리금은 711달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 117개월(약 9.8년)입니다. 총 부채상환비율(DTI)은 13.75%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 2건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 24개이고, 전체 신용 한도 대비 사용률(revol_util)은 41.60%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
40000,10.08,851.46,152840.0,19.16,1,680.0,0,20,0,70999,80.7,36,164,60,B,B1,2,MORTGAGE,Source Verified,debt_consolidation,NE,1,"이 대출 신청자는 연소득 152,840달러이며, 재직 기간은 2년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 40,000달러, 대출 기간은 60개월이며, 적용 금리는 10.08%입니다. 매월 납입해야 하는 상환 원리금은 851달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 164개월(약 13.7년)입니다. 총 부채상환비율(DTI)은 19.16%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 1건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 20개이고, 전체 신용 한도 대비 사용률(revol_util)은 80.70%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
16000,19.92,593.97,82500.0,19.6,0,680.0,0,10,0,1839,11.6,22,107,36,D,D3,10,MORTGAGE,Source Verified,debt_consolidation,TX,0,"이 대출 신청자는 연소득 82,500달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 16,000달러, 대출 기간은 36개월이며, 적용 금리는 19.92%입니다. 매월 납입해야 하는 상환 원리금은 594달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 107개월(약 8.9년)입니다. 총 부채상환비율(DTI)은 19.60%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 10개이고, 전체 신용 한도 대비 사용률(revol_util)은 11.60%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
3200,16.14,112.73,35000.0,34.09,0,680.0,2,13,0,12603,43.0,14,14,36,C,C4,4,RENT,Not Verified,debt_consolidation,PA,0,"이 대출 신청자는 연소득 35,000달러이며, 재직 기간은 4년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 3,200달러, 대출 기간은 36개월이며, 적용 금리는 16.14%입니다. 매월 납입해야 하는 상환 원리금은 113달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 14개월(약 1.2년)입니다. 총 부채상환비율(DTI)은 34.09%입니다. 최근 6개월간 신용조회 건수는 2건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 13개이고, 전체 신용 한도 대비 사용률(revol_util)은 43.00%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
15475,13.56,525.6,74500.0,6.94,0,680.0,0,15,0,5052,15.3,15,5,36,C,C1,4,RENT,Source Verified,debt_consolidation,CA,0,"이 대출 신청자는 연소득 74,500달러이며, 재직 기간은 4년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 15,475달러, 대출 기간은 36개월이며, 적용 금리는 13.56%입니다. 매월 납입해야 하는 상환 원리금은 526달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 5개월(약 0.4년)입니다. 총 부채상환비율(DTI)은 6.94%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 15개이고, 전체 신용 한도 대비 사용률(revol_util)은 15.30%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
15000,19.92,396.75,60000.0,33.08,0,680.0,0,10,0,10409,39.1,27,253,60,D,D3,10,MORTGAGE,Source Verified,debt_consolidation,PA,0,"이 대출 신청자는 연소득 60,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 15,000달러, 대출 기간은 60개월이며, 적용 금리는 19.92%입니다. 매월 납입해야 하는 상환 원리금은 397달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 253개월(약 21.1년)입니다. 총 부채상환비율(DTI)은 33.08%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 10개이고, 전체 신용 한도 대비 사용률(revol_util)은 39.10%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
20000,11.31,657.72,45000.0,9.76,1,680.0,0,16,0,9861,14.6,31,198,36,B,B3,10,MORTGAGE,Verified,debt_consolidation,AZ,0,"이 대출 신청자는 연소득 45,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Verified입니다. 신청한 대출 금액은 20,000달러, 대출 기간은 36개월이며, 적용 금리는 11.31%입니다. 매월 납입해야 하는 상환 원리금은 658달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 198개월(약 16.5년)입니다. 총 부채상환비율(DTI)은 9.76%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 1건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 16개이고, 전체 신용 한도 대비 사용률(revol_util)은 14.60%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
